,LEAD_REFERENCE_NUMBER,CAMPAIGN_CODE,CIF,MARKETING_MESSAGE_LINE1,MARKETING_MESSAGE_LINE2,MARKETING_MESSAGE_LINE3,MARKETING_MESSAGE_LINE4,MARKETING_MESSAGE_LINE5,MARKETING_MESSAGE_LINE6,BRANCH_CODE,PERSONALIZED_MESSAGE,PRODUCT_OFFER,PROVINCE_CODE,REGION,CAMPAIGN_TYPE,LEAD_STATUS_CODE,OWNER_EMPLOYEE_ID,REFER_NAME,RESPONSE_DATE_TIME,RESPONSE_CODE
3985,LMMT004120774,,10477644,,,,,,,599,,MTFLTFX,,60501,,1,262147,,2018-04-29T17:47:04Z,
4072,LMAY003996898,,899502,,,,,,,17,,AYFSDIV,,60501,,1,261479,,2018-01-26T16:47:40Z,
4097,LMAY004026596,,3915669,,,,,,,301,,AYFCAPL,,50303,,1,223719,,2018-02-19T14:35:17Z,
4116,LMMT004026468,,10918615,,,,,,,615,,MTFLTFX,,50303,,1,164756,,2018-02-19T13:32:29Z,
4125,LMPM003999802,,12047371,,,,,,,262,ลูกค้าสาขา,PMVLTFX,,50303,,1,191940,,2018-01-30T16:32:09Z,
4130,LMAY004109736,,4341914,,,,,,,17,,AYFSDIV,,60501,,1,261479,,2018-04-20T16:20:20Z,
4206,LMMT004025309,,12258212,,,,,,,599,,MTFLTFX,,60501,,1,262147,,2018-02-17T14:34:47Z,
4235,LMMT004034837,,9491358,,,,,,,599,,MTFLTFX,,60501,,1,262147,,2018-02-24T17:25:12Z,
4278,LMMG004027822,,100000000039541,,,,,,,570,,MGLXXXX,,60501,,1,11139359,,2018-02-20T10:09:14Z,
4377,LMMT004031528,,10099403,,,,,,,34,,MTFLTFX,,50303,,1,166546,,2018-02-22T10:13:11Z,
4387,LMMT004031500,,3340283,,,,,,,34,,MTFLTFX,,50303,,1,166546,,2018-02-22T10:01:40Z,
4389,LMAY004027925,,17119683,,,,,,,17,,AYFCRMF,,60501,,1,261479,,2018-02-20T10:39:49Z,
